"Год","Регион","salary","invest"
2002,"Тульская область",2619.8,1350.3
2002,"Тюменская область",8558.5,19484.3
2002,"Ханты-Мансийский ...",10846.3,11864.9
2002,"Ямало-Ненецкий ав...",13298.1,4369.7
2002,"Ульяновская область",2378.9,977.8
2002,"Челябинская область",3108.3,3836.8
2002,"Забайкальский край",2993.1,681.3
2002,"Агинский Бурятски...",2345.9,22.5
2002,"Чукотский авт.округ",11313.2,520
2002,"Ярославская область",3354.2,978.3
2002,"Республика Адыгея",2166.9,649
2002,"Хабаровский край",4689.1,1259.2
2002,"Республика Башкор...",3133.8,7492.6
2002,"Республика Бурятия",3141.2,853.1
2002,"Республика Дагестан",1534,1836.2
2002,"Кабардино-Балкарс...",2095,1893.5
2002,"Республика Алтай",2354.6,55.3
2002,"Республика Калмыкия",1763,175.4
2002,"Республика Карелия",4061,488.6
2002,"Республика Коми",6225,899.2
2002,"Республика Марий Эл",1813.1,601.3
2002,"Республика Мордовия",2124.1,826.3
2002,"Республика Северн...",1961,651.3
2002,"Карачаево-Черкесс...",1999.4,243.2
2002,"Республика Татарстан",3249.4,7556.3
2002,"Республика Тыва",2402.1,147.8
2002,"Удмуртская Респуб...",2533,1240.9
2002,"Республика Хакасия",3143.7,470.3
2002,"Чувашская Республика",2069.9,2040.9
2002,"Республика Саха (...",6348.2,2800.8
2002,"Еврейская автоном...",3081,86.5
2003,"Алтайский край",2894.5,1979.2
2003,"Амурская область",3852.4,1086.8
2003,"Ненецкий авт.округ",14197.2,218.2
2003,"Астраханская область",3864.1,4439
2003,"Белгородская область",3357.4,2092.4
2003,"Брянская область",3134.6,1069.9
2003,"Владимирская область",2842,1377.3
2003,"Волгоградская обл...",3802.9,1974.4
2003,"Вологодская область",4411.8,1126.8
2003,"Воронежская область",3391.2,4128.8
2003,"Нижегородская обл...",4000.1,4629.6
2003,"Ивановская область",2293.1,825.6
2003,"Иркутская область",4549.6,2212
2003,"Усть-Ордынский Бу...",1490.8,11.1
2003,"Республика Ингушетия",1402.2,139.2
2003,"Калининградская о...",3807.1,1128
2003,"Тверская область",3020.6,2989.7
2003,"Калужская область",3339.8,1486
2003,"Краснодарский край",3662.2,11445.8
2003,"Камчатский край",7100.8,217.3
2003,"Корякский авт.округ",7884.9,0.2
2003,"Кемеровская область",4906.6,2459.1
2003,"Кировская область",3093.6,874
2003,"Костромская область",3089.2,509.4
2003,"Самарская область",5788.1,4452.1
2003,"Курганская область",2867.2,556.5
2003,"Курская область",3371.4,1068.7
2003,"Красноярский край",5508.8,3542.4
2003,"г.Санкт-Петербург",6851.2,5843.3
2003,"Таймырский (Долга...",10236.3,51.7
2003,"Ленинградская обл...",3052.3,4984.6
2003,"Эвенкийский авт.о...",6646.2,5.6
2003,"Липецкая область",3563.2,3060.1
2003,"Магаданская область",8184.6,60.4
2003,"г.Москва",16826.6,54367.9
2003,"Московская область",4425,27542.7
2003,"Мурманская область",7134.7,39.6
2003,"Новгородская область",3715.4,860.3
2003,"Приморский край",4246.2,1993.4
2003,"Новосибирская обл...",3892.9,2553.5
2003,"Омская область",4512.5,2862.6
2003,"Оренбургская область",3135.1,2901.7
2003,"Орловская область",3225.3,2008.7
2003,"Пензенская область",2764.9,1536.8
2003,"Пермский край",5257.3,2792.7
2003,"Коми-Пермяцкий ав...",1922.5,67.7
2003,"Псковская область",3555.7,696.6
2003,"Ростовская область",4023.9,7581.5
2003,"Рязанская область",3309.1,1100.8
2003,"Саратовская область",3337.1,3099.2
2003,"Сахалинская область",7676,1523.9
2003,"Свердловская область",5278,5646.8
2003,"Смоленская область",3723.9,1841.8
2003,"Тамбовская область",3416.2,2175.2
2003,"Томская область",5407.3,979.2
2003,"Ставропольский край",3071.8,3323.4
2003,"Тульская область",3382.6,1523.3
2003,"Тюменская область",10555.5,19696.9
2003,"Ханты-Мансийский ...",12892.1,11307.9
2003,"Ямало-Ненецкий ав...",15962.2,4819
2003,"Ульяновская область",3063.1,1157.4
2003,"Челябинская область",3998.1,5252.4
2003,"Забайкальский край",4015.7,1003.3
2003,"Агинский Бурятски...",3236.7,76.8
2003,"Чукотский авт.округ",13663.9,1398.8
2003,"Ярославская область",4266.6,1272.1
2003,"Республика Адыгея",2548.9,447
2003,"Хабаровский край",6205.3,1939
2003,"Республика Башкор...",4153.1,8716.3
2003,"Республика Бурятия",3857.4,734.1
2003,"Республика Дагестан",2125,3539.9
2003,"Кабардино-Балкарс...",2571.4,1624.3
